open_time,open,high,low,close,volume,close_time
2025-10-27T03:20:00Z,115136.89000000,115242.65000000,115000.84000000,115000.85000000,84.59704000,2025-10-27T03:24:59Z
2025-10-27T03:25:00Z,115000.85000000,115013.31000000,114926.45000000,114926.46000000,50.61235000,2025-10-27T03:29:59Z
2025-10-27T03:30:00Z,114926.46000000,115026.83000000,114884.72000000,114926.75000000,58.01508000,2025-10-27T03:34:59Z
2025-10-27T03:35:00Z,114926.75000000,114980.92000000,114901.99000000,114928.20000000,24.68086000,2025-10-27T03:39:59Z
2025-10-27T03:40:00Z,114928.19000000,114954.06000000,114909.12000000,114909.13000000,29.57067000,2025-10-27T03:44:59Z
2025-10-27T03:45:00Z,114909.13000000,115050.00000000,114887.86000000,115049.99000000,31.54218000,2025-10-27T03:49:59Z
2025-10-27T03:50:00Z,115049.99000000,115050.00000000,114936.01000000,115029.50000000,24.34991000,2025-10-27T03:54:59Z
2025-10-27T03:55:00Z,115029.50000000,115029.50000000,114919.55000000,114958.51000000,125.78640000,2025-10-27T03:59:59Z
2025-10-27T04:00:00Z,114958.52000000,114997.19000000,114938.01000000,114951.39000000,40.88127000,2025-10-27T04:04:59Z
2025-10-27T04:05:00Z,114951.38000000,115040.97000000,114951.38000000,115040.96000000,45.91898000,2025-10-27T04:09:59Z
2025-10-27T04:10:00Z,115040.97000000,115211.99000000,115040.96000000,115210.85000000,61.41951000,2025-10-27T04:14:59Z
2025-10-27T04:15:00Z,115210.84000000,115212.00000000,115172.94000000,115184.85000000,33.43446000,2025-10-27T04:19:59Z
2025-10-27T04:20:00Z,115184.85000000,115217.41000000,115177.18000000,115204.10000000,25.23836000,2025-10-27T04:24:59Z
2025-10-27T04:25:00Z,115204.10000000,115247.20000000,115193.54000000,115193.59000000,32.10665000,2025-10-27T04:29:59Z
2025-10-27T04:30:00Z,115193.60000000,115223.50000000,115191.57000000,115191.57000000,20.29859000,2025-10-27T04:34:59Z
2025-10-27T04:35:00Z,115191.57000000,115265.03000000,115190.82000000,115225.00000000,31.74043000,2025-10-27T04:39:59Z
2025-10-27T04:40:00Z,115225.01000000,115283.26000000,115225.00000000,115266.50000000,33.87520000,2025-10-27T04:44:59Z
2025-10-27T04:45:00Z,115266.51000000,115283.26000000,115211.73000000,115247.96000000,33.58278000,2025-10-27T04:49:59Z
2025-10-27T04:50:00Z,115247.97000000,115258.34000000,115208.20000000,115255.38000000,22.25013000,2025-10-27T04:54:59Z
2025-10-27T04:55:00Z,115255.37000000,115283.27000000,115255.37000000,115256.44000000,19.66055000,2025-10-27T04:59:59Z
2025-10-27T05:00:00Z,115256.43000000,115384.98000000,115256.43000000,115384.97000000,40.97701000,2025-10-27T05:04:59Z
2025-10-27T05:05:00Z,115384.98000000,115491.90000000,115354.00000000,115418.50000000,82.60264000,2025-10-27T05:09:59Z
2025-10-27T05:10:00Z,115418.49000000,115521.61000000,115393.33000000,115475.77000000,83.85881000,2025-10-27T05:14:59Z
2025-10-27T05:15:00Z,115475.78000000,115589.00000000,115419.99000000,115546.22000000,103.20897000,2025-10-27T05:19:59Z
2025-10-27T05:20:00Z,115546.23000000,115567.56000000,115393.33000000,115520.69000000,81.70013000,2025-10-27T05:24:59Z
2025-10-27T05:25:00Z,115520.69000000,115583.00000000,115444.02000000,115555.50000000,68.79961000,2025-10-27T05:29:59Z
2025-10-27T05:30:00Z,115555.50000000,115555.50000000,115448.00000000,115514.85000000,53.41159000,2025-10-27T05:34:59Z
2025-10-27T05:35:00Z,115514.85000000,115524.22000000,115457.07000000,115464.96000000,38.87329000,2025-10-27T05:39:59Z
2025-10-27T05:40:00Z,115464.97000000,115647.90000000,115464.96000000,115641.77000000,108.38501000,2025-10-27T05:44:59Z
2025-10-27T05:45:00Z,115641.77000000,115652.89000000,115514.01000000,115574.05000000,92.19135000,2025-10-27T05:49:59Z
2025-10-27T05:50:00Z,115574.05000000,115587.77000000,115500.00000000,115587.76000000,46.21737000,2025-10-27T05:54:59Z
2025-10-27T05:55:00Z,115587.77000000,115607.97000000,115556.56000000,115556.57000000,27.78885000,2025-10-27T05:59:59Z
2025-10-27T06:00:00Z,115556.56000000,115556.57000000,115361.65000000,115434.51000000,72.13316000,2025-10-27T06:04:59Z
2025-10-27T06:05:00Z,115434.50000000,115450.00000000,115405.47000000,115426.99000000,45.41602000,2025-10-27T06:09:59Z
2025-10-27T06:10:00Z,115427.00000000,115494.63000000,115423.51000000,115492.92000000,51.28539000,2025-10-27T06:14:59Z
