open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2025-10-08 20:15:00+00:00,123495.97000000,123648.00000000,123484.61000000,123593.44000000,29.63452000,2025-10-08 20:19:59.999000+00:00,3661865.94895620,9934,26.08041000,3222737.46602030,0
2025-10-08 20:20:00+00:00,123593.43000000,123737.00000000,123550.00000000,123666.30000000,53.73332000,2025-10-08 20:24:59.999000+00:00,6642786.03152710,7559,44.15834000,5459050.08924180,0
2025-10-08 20:25:00+00:00,123666.30000000,123666.31000000,123550.00000000,123563.37000000,24.21244000,2025-10-08 20:29:59.999000+00:00,2992457.85828620,6637,10.15703000,1255284.57497540,0
2025-10-08 20:30:00+00:00,123563.38000000,123565.38000000,123413.38000000,123413.39000000,27.36876000,2025-10-08 20:34:59.999000+00:00,3379654.00747680,6519,9.16569000,1131857.61632020,0
2025-10-08 20:35:00+00:00,123413.38000000,123513.34000000,123400.00000000,123460.87000000,16.86647000,2025-10-08 20:39:59.999000+00:00,2082254.80444770,5677,7.26655000,897078.49819960,0
2025-10-08 20:40:00+00:00,123460.87000000,123475.62000000,123341.00000000,123361.82000000,29.93692000,2025-10-08 20:44:59.999000+00:00,3694026.00797850,5415,8.08228000,997227.30118350,0
2025-10-08 20:45:00+00:00,123361.83000000,123385.45000000,123240.00000000,123263.20000000,141.43954000,2025-10-08 20:49:59.999000+00:00,17445175.86192790,8639,110.69438000,13654252.77279910,0
2025-10-08 20:50:00+00:00,123263.20000000,123263.21000000,123212.00000000,123226.30000000,17.77597000,2025-10-08 20:54:59.999000+00:00,2190614.92515680,5214,9.10739000,1122313.38560640,0
2025-10-08 20:55:00+00:00,123226.29000000,123226.30000000,122814.00000000,122856.69000000,231.77984000,2025-10-08 20:59:59.999000+00:00,28495413.43233180,20045,54.48286000,6699750.93177110,0
2025-10-08 21:00:00+00:00,122856.70000000,123105.50000000,122794.40000000,123100.84000000,47.42286000,2025-10-08 21:04:59.999000+00:00,5832183.53687520,14659,17.57530000,2161846.26712600,0
2025-10-08 21:05:00+00:00,123100.84000000,123162.85000000,123070.00000000,123071.38000000,32.19934000,2025-10-08 21:09:59.999000+00:00,3964102.44380140,11078,16.78688000,2066533.81855400,0
2025-10-08 21:10:00+00:00,123071.37000000,123093.21000000,122998.54000000,123093.21000000,37.69405000,2025-10-08 21:14:59.999000+00:00,4638135.69197380,7507,25.78186000,3172419.02492180,0
2025-10-08 21:15:00+00:00,123093.21000000,123204.24000000,123093.20000000,123140.62000000,24.22703000,2025-10-08 21:19:59.999000+00:00,2984064.20504980,8814,10.67031000,1314201.36234820,0
2025-10-08 21:20:00+00:00,123140.62000000,123252.82000000,123137.32000000,123245.99000000,16.30070000,2025-10-08 21:24:59.999000+00:00,2008304.01548490,5445,13.04374000,1607018.28829700,0
2025-10-08 21:25:00+00:00,123245.98000000,123317.62000000,123221.40000000,123279.46000000,20.61808000,2025-10-08 21:29:59.999000+00:00,2541973.06259210,7252,14.24330000,1756086.62287310,0
2025-10-08 21:30:00+00:00,123279.46000000,123311.96000000,123270.98000000,123279.45000000,17.32744000,2025-10-08 21:34:59.999000+00:00,2136349.71151510,3165,6.55326000,807948.25887130,0
2025-10-08 21:35:00+00:00,123282.27000000,123307.37000000,123265.28000000,123282.72000000,9.75369000,2025-10-08 21:39:59.999000+00:00,1202442.28358280,2383,5.85278000,721532.49935690,0
2025-10-08 21:40:00+00:00,123282.72000000,123332.01000000,123266.42000000,123332.01000000,13.72085000,2025-10-08 21:44:59.999000+00:00,1691797.73241400,3039,10.63061000,1310750.94426180,0
2025-10-08 21:45:00+00:00,123332.00000000,123332.01000000,123181.75000000,123181.76000000,19.84480000,2025-10-08 21:49:59.999000+00:00,2445499.79711370,7439,3.77786000,465519.15304830,0
2025-10-08 21:50:00+00:00,123181.75000000,123221.12000000,123181.75000000,123200.25000000,5.43995000,2025-10-08 21:54:59.999000+00:00,670209.78021730,2779,2.80807000,345941.49902820,0
2025-10-08 21:55:00+00:00,123200.26000000,123277.34000000,123200.25000000,123277.33000000,17.38850000,2025-10-08 21:59:59.999000+00:00,2142410.49234800,2373,13.07759000,1611287.97059060,0
2025-10-08 22:00:00+00:00,123277.34000000,123372.51000000,123277.34000000,123305.17000000,26.67736000,2025-10-08 22:04:59.999000+00:00,3289815.43005160,9524,11.43608000,1410272.78971830,0
2025-10-08 22:05:00+00:00,123305.17000000,123416.73000000,123294.73000000,123416.45000000,8.39470000,2025-10-08 22:09:59.999000+00:00,1035533.64745410,5251,5.38558000,664402.58287040,0
2025-10-08 22:10:00+00:00,123416.44000000,123416.44000000,123304.88000000,123354.71000000,12.25662000,2025-10-08 22:14:59.999000+00:00,1511856.43373410,4204,3.26201000,402291.46671350,0
2025-10-08 22:15:00+00:00,123354.70000000,123400.68000000,123279.64000000,123344.75000000,15.79061000,2025-10-08 22:19:59.999000+00:00,1947549.70691050,6106,5.59342000,689758.81281720,0
2025-10-08 22:20:00+00:00,123344.75000000,123380.94000000,123335.39000000,123335.39000000,10.55088000,2025-10-08 22:24:59.999000+00:00,1301509.39891960,3158,5.48942000,677147.65169590,0
2025-10-08 22:25:00+00:00,123335.39000000,123335.40000000,123279.64000000,123290.96000000,8.23737000,2025-10-08 22:29:59.999000+00:00,1015624.33841140,2796,3.66068000,451321.09652940,0
2025-10-08 22:30:00+00:00,123290.97000000,123340.79000000,123290.96000000,123334.54000000,9.80612000,2025-10-08 22:34:59.999000+00:00,1209311.22842650,3165,5.46819000,674317.69225450,0
2025-10-08 22:35:00+00:00,123334.54000000,123355.06000000,123334.54000000,123355.06000000,4.68747000,2025-10-08 22:39:59.999000+00:00,578148.93526390,1470,1.99935000,246600.66672230,0
2025-10-08 22:40:00+00:00,123355.06000000,123355.06000000,123314.43000000,123314.44000000,10.87360000,2025-10-08 22:44:59.999000+00:00,1341121.46589280,1840,4.12732000,509019.31987720,0
2025-10-08 22:45:00+00:00,123314.44000000,123330.03000000,123261.85000000,123279.63000000,6.53850000,2025-10-08 22:49:59.999000+00:00,806181.67943000,5263,2.62484000,323621.44604020,0
2025-10-08 22:50:00+00:00,123279.64000000,123279.65000000,123267.31000000,123275.35000000,6.44585000,2025-10-08 22:54:59.999000+00:00,794603.15961210,1535,3.84139000,473541.07823990,0
2025-10-08 22:55:00+00:00,123275.35000000,123275.36000000,123200.81000000,123200.82000000,11.99411000,2025-10-08 22:59:59.999000+00:00,1478155.48689510,2251,3.15141000,388334.92318890,0
2025-10-08 23:00:00+00:00,123200.82000000,123200.82000000,123173.85000000,123173.89000000,18.30302000,2025-10-08 23:04:59.999000+00:00,2254614.55439410,2858,9.44129000,1162986.19084920,0
2025-10-08 23:05:00+00:00,123173.88000000,123200.03000000,123056.31000000,123082.14000000,36.11838000,2025-10-08 23:09:59.999000+00:00,4446532.11385740,4460,9.85595000,1213230.95969770,0
